overallaccuracy,overallrec,ficprecision,ficrecall,poeprecision,poerecall,draprecision,drarecall
0.9395,0.9395,0.921,0.875,0.898,0.921,0.956,0.974
0.943,0.926,0.922,0.875,0.898,0.92,0.956,0.974
0.944,0.923,0.922,0.875,0.899,0.919,0.956,0.974
0.944,0.921,0.922,0.875,0.899,0.918,0.956,0.974
0.945,0.918,0.922,0.875,0.9,0.917,0.956,0.973
0.946,0.915,0.922,0.875,0.9,0.916,0.956,0.973
0.946,0.913,0.923,0.875,0.901,0.915,0.957,0.973
0.947,0.91,0.923,0.875,0.901,0.914,0.957,0.973
0.948,0.907,0.923,0.875,0.902,0.913,0.957,0.973
0.948,0.905,0.923,0.875,0.902,0.912,0.957,0.973
0.949,0.902,0.924,0.875,0.903,0.911,0.957,0.973
0.95,0.899,0.924,0.875,0.904,0.91,0.957,0.973
0.95,0.897,0.924,0.875,0.904,0.909,0.957,0.972
0.951,0.894,0.925,0.874,0.905,0.908,0.957,0.972
0.952,0.892,0.925,0.874,0.906,0.907,0.958,0.972
0.952,0.889,0.926,0.874,0.907,0.905,0.958,0.972
0.953,0.887,0.926,0.874,0.908,0.904,0.958,0.972
0.954,0.885,0.927,0.874,0.909,0.902,0.958,0.972
0.954,0.883,0.928,0.874,0.91,0.901,0.959,0.971
0.955,0.881,0.929,0.874,0.912,0.899,0.959,0.971
0.956,0.879,0.93,0.874,0.913,0.897,0.96,0.971
0.957,0.876,0.932,0.873,0.914,0.895,0.96,0.971
0.957,0.874,0.933,0.873,0.916,0.894,0.96,0.971
0.958,0.872,0.934,0.873,0.917,0.892,0.961,0.971
0.959,0.869,0.936,0.873,0.918,0.89,0.961,0.97
0.96,0.867,0.937,0.873,0.92,0.889,0.962,0.97
0.96,0.864,0.939,0.872,0.921,0.887,0.962,0.97
0.961,0.862,0.94,0.872,0.922,0.885,0.963,0.97
0.962,0.859,0.942,0.871,0.923,0.884,0.963,0.97
0.963,0.857,0.943,0.871,0.924,0.882,0.964,0.969
0.963,0.854,0.945,0.87,0.925,0.88,0.964,0.969
0.964,0.851,0.946,0.869,0.926,0.879,0.965,0.969
0.964,0.849,0.947,0.868,0.927,0.877,0.965,0.969
0.965,0.846,0.948,0.867,0.928,0.876,0.966,0.968
0.965,0.843,0.95,0.865,0.928,0.875,0.966,0.968
0.966,0.839,0.951,0.864,0.929,0.874,0.966,0.968
0.966,0.836,0.952,0.862,0.929,0.873,0.967,0.967
0.966,0.833,0.952,0.86,0.929,0.872,0.967,0.967
0.967,0.83,0.953,0.858,0.93,0.871,0.968,0.966
0.967,0.826,0.954,0.856,0.93,0.87,0.968,0.966
0.968,0.823,0.955,0.854,0.93,0.869,0.968,0.966
0.968,0.82,0.955,0.852,0.931,0.869,0.969,0.965
0.968,0.816,0.956,0.85,0.931,0.868,0.969,0.965
0.969,0.813,0.956,0.848,0.931,0.868,0.969,0.964
0.969,0.809,0.957,0.846,0.931,0.867,0.969,0.963
0.97,0.805,0.958,0.844,0.931,0.867,0.97,0.963
0.97,0.801,0.958,0.842,0.932,0.866,0.97,0.962
0.97,0.797,0.959,0.84,0.932,0.866,0.97,0.962
0.971,0.793,0.959,0.838,0.932,0.865,0.97,0.961
0.971,0.788,0.96,0.836,0.932,0.865,0.97,0.96
0.972,0.783,0.96,0.835,0.932,0.864,0.97,0.96
0.972,0.778,0.961,0.833,0.932,0.863,0.97,0.959
0.972,0.773,0.962,0.832,0.933,0.861,0.97,0.958
0.973,0.768,0.962,0.83,0.933,0.858,0.971,0.958
0.973,0.763,0.963,0.828,0.933,0.856,0.971,0.957
0.973,0.758,0.963,0.826,0.933,0.853,0.973,0.956
0.974,0.753,0.964,0.824,0.933,0.85,0.975,0.956
0.974,0.748,0.964,0.821,0.933,0.846,0.977,0.955
0.975,0.743,0.965,0.819,0.933,0.843,0.979,0.954
0.975,0.738,0.965,0.816,0.934,0.839,0.98,0.954
0.975,0.733,0.965,0.813,0.934,0.834,0.981,0.953
0.976,0.728,0.966,0.81,0.935,0.829,0.982,0.952
0.976,0.723,0.966,0.807,0.935,0.824,0.983,0.951
0.977,0.717,0.967,0.804,0.936,0.816,0.984,0.951
0.977,0.712,0.967,0.8,0.936,0.805,0.985,0.95
0.978,0.706,0.967,0.796,0.937,0.789,0.987,0.949
0.978,0.701,0.968,0.792,0.938,0.771,0.989,0.948
0.979,0.695,0.968,0.788,0.939,0.753,0.992,0.948
0.98,0.689,0.968,0.783,0.939,0.736,0.993,0.947
0.98,0.684,0.969,0.779,0.94,0.719,0.993,0.946
0.981,0.678,0.969,0.774,0.941,0.702,0.993,0.945
0.981,0.672,0.969,0.768,0.941,0.684,0.993,0.944
0.982,0.665,0.97,0.75,0.942,0.666,0.993,0.942
0.983,0.659,0.97,0.715,0.943,0.648,0.993,0.932
0.983,0.652,0.971,0.675,0.944,0.63,0.993,0.909
0.984,0.645,0.972,0.638,0.945,0.613,0.993,0.873
0.985,0.637,0.973,0.605,0.945,0.598,0.993,0.827
0.985,0.629,0.974,0.576,0.946,0.583,0.993,0.788
0.986,0.621,0.976,0.548,0.946,0.563,0.994,0.756
0.986,0.612,0.977,0.522,0.947,0.537,0.994,0.728
0.987,0.591,0.979,0.496,0.947,0.51,0.994,0.703
0.988,0.556,0.98,0.471,0.947,0.482,0.994,0.679
0.988,0.514,0.982,0.444,0.947,0.454,0.994,0.657
0.989,0.474,0.983,0.42,0.948,0.426,0.994,0.638
0.989,0.438,0.984,0.398,0.949,0.397,0.994,0.632
0.99,0.406,0.986,0.371,0.951,0.369,0.994,0.659
0.99,0.373,0.987,0.334,0.957,0.339,0.994,0.608
0.991,0.343,0.988,0.298,0.961,0.31,0.993,0.554
0.991,0.314,0.99,0.26,0.964,0.281,0.993,0.496
0.992,0.285,0.991,0.223,0.967,0.252,0.993,0.437
0.993,0.257,0.993,0.186,0.97,0.224,0.993,0.376
